country,total_weekly_hours_worked(estimates_in_thousands),percentage_of_working_hrs_lost,percent_hours_lost_40hrs_per_week,percent_hours_lost_48hrs_per_week,labour_dependency_ratio,employed_female_25+_2019,employed_male_25+_2019,ratio_of_weekly_hours_worked_by_population_age_15-64,Developing Country
France,918518.662,8.4,2111.313,1759.4270000000000,1.4,12248.471000000000,13082.73,22.2,0
Gabon,23903.213,8.3,53.853,44.877000000000000,3.06,191.304,344.92400000000000,18.1,1
United Kingdom,1055314.545,12.8,3888.6540000000000,3240.545,1.12,13954.781,15822.501,24.4,0
Georgia,58559.708,13.1,220.322,183.601,1.3,801.8920000000000,869.405,22.7,1
Ghana,494845.06900000000,4.7,614.43,512.025,1.48,4752.1720000000000,5426.397,26.7,1
Guinea,148245.703,7.6,303.0,252.5,2.09,1716.793,1453.484,20.9,1
Gambia,31148.112,7.7,64.752,53.96,2.43,228.563,310.335,24.1,1
Guinea-Bissau,26609.193,8.9,65.244,54.37,1.53,279.755,310.726,24.5,1
Equatorial Guinea,19752.944,8.5,45.69,38.075,1.87,151.892,269.384,23.1,1
Greece,136984.055,12.6,492.87300000000000,410.728,1.53,1545.297,2189.305,20.5,0
Guatemala,261991.125,16.4,1286.982,1072.485,1.78,1829.065,3403.04,23.7,1
Guam,2941.304,9.6,7.787000000000000,6.489,1.28,26.519000000000000,37.266,26.6,1
Guyana,9863.276,12.5,35.224000000000000,29.354,2.02,81.865,128.97,19.2,1
"Hong Kong, China",144957.601,8.6,341.161,284.301,1.01,1745.445,1786.359,28.0,1
Honduras,136185.904,24.3,1093.766,911.471,1.6,1304.032,2007.517,21.3,1
Croatia,60768.033000000000,5.5,88.78,73.984,1.54,729.8860000000000,840.814,23.1,0
Haiti,169115.612,7.6,346.974,289.145,1.82,1858.0540000000000,2060.451,23.8,1
Hungary,163936.297,5.2,223.98,186.65,1.62,1935.652,2321.126,25.9,0
Indonesia,4639060.401000000,8.2,10424.883,8687.403,1.22,44195.656000000000,67702.037,25.0,1
India,18071871.505,13.7,71600.118,59666.765,1.83,86632.141,330467.179,19.5,1
Ireland,73422.494,12.5,262.844,219.03600000000000,1.35,931.2590000000000,1112.37,23.0,0
"Iran, Islamic Republic of",1035206.194,5.9,1632.411,1360.342,2.55,4058.9310000000000,18648.716,17.9,1
Iraq,349301.91800000000,10.8,1053.776,878.1470000000000,3.46,902.815,6632.726,14.8,1
Iceland,7247.0510000000000,6.3,12.145,10.121,0.82,76.343,87.771,32.7,0
Israel,124508.94700000000,9.2,316.841,264.035,1.38,1517.4920000000000,1692.727,24.1,1
Italy,745249.6060000000,13.5,2897.255,2414.379,1.64,9494.895,12970.379000000000,19.3,0
Jamaica,53195.715,11.3,169.39,141.158,1.47,563.698,684.055,26.6,1
Jordan,95457.65700000000,10.4,277.578,231.315,3.37,328.64100000000000,1591.96,14.8,1
Japan,2392471.469,5.4,3398.44,2832.033,1.02,27174.068,34800.777,32.0,0
Kazakhstan,287781.215,11.5,939.211,782.676,0.99,3762.105,4045.7660000000000,24.3,1
Kenya,854946.5240000000,9.5,2238.344,1865.287,1.58,9280.059000000000,9524.823,27.0,1
Kyrgyzstan,80275.183,11.7,265.595,221.33,1.44,801.1610000000000,1251.836,19.6,1
Cambodia,391194.289,4.8,492.39100000000000,410.32600000000000,0.77,3550.765,3635.0560000000000,36.4,1
"Korea, Republic of",1054518.328,3.7,1024.019,853.3490000000000,1.04,10848.61,14864.593,28.7,1
Kuwait,89724.177,16.4,440.417,367.014,0.91,547.831,1727.65,27.8,1
Lao People's Democratic Republic,157677.005,4.3,179.233,149.361,1.03,1431.75,1527.17,34.0,1
Lebanon,94901.651,10.3,273.809,228.174,2.09,452.241,1527.096,20.6,1
Liberia,89599.709,9.0,222.31600000000000,185.263,1.38,782.666,848.175,31.5,1
Libya,79993.196,9.3,206.02900000000000,171.69100000000000,2.57,609.506,1276.4590000000000,17.2,1
